Titulo;Tesista;Grado;Asesor;Resumen;Año;Especialidad
"Definici&oacute;n de los procesos del perfil b&aacute;sico de gesti&oacute;n de servicios para peque&ntilde;as organizaciones basados en ISO/IEC 20000-4 y la familia de normas ISO/IEC 29110";Aquino Aliaga, Freddy Ricardo,Pacheco Vivanco, Diego Alejandro;Licenciatura;"Dávila Ramón, Abraham Eliseo"" xml:lang=""es_ES,Melendez Llave, Karin Ana"" xml:lang=""es_ES";"La gestión de servicios de tecnología de información se ha convertido en un aspecto importante en todo tipo de organizaciones, por lo que la adopción de buenas prácticas les permitirá a estas ser más efectivas y eficientes en sus operaciones. Para esta necesidad se han desarrollado diversas iniciativas como ITIL (de Information Technology Infraestructure Library) o CMMI for Services (Capability Maturity Model Integration) o la ISO/IEC 20000. Todos estos modelos están bien posicionados, pero han sido pensados para grandes organizaciones por lo que resulta complicada su aplicación en pequeños contextos.&#xD;&#xA;Por otro lado, el proyecto ProCal-ProSer tiene como propósito trabajar con modelos de procesos para desarrollo de software y para gestión de servicios en el contexto de las pequeñas organizaciones, tomando como referencia los trabajos que viene desarrollando a nivel de la ISO.&#xD;&#xA;En este proyecto se definirá un modelo de procesos de un perfil básico para la gestión de servicios de tecnología de información en pequeñas organizaciones que desarrollan software y además ofrecen servicios software. El modelo debe estar basado en la norma ISO/IEC 20000 (ISO/IEC 20000-4) y la familia de las normas ISO/IEC 29110. El perfil definido debe responder a la filosofía subyacente de la ISO/IEC 29110 de ser el conjunto de prácticas más relevantes para una pequeña organización (menos de 25 personas según la definición de la 29110) y debe cubrir el aspecto operativo de la organización que brinda el servicio software. El modelo deberá guardar correspondencia (de manera explícita) con los resultados de los procesos de la ISO/IEC 20000-4. El nivel de detalle de la especificación de procesos debe ser tal que pueda ser fácil su adopción, refiriéndose que el nivel de abstracción sea el adecuado para permitir varias instancias (distintas) del modelo propuesto; así mismo, para definir esas instancias se deberá usar gran parte de la definición desarrollada, por lo que implicará que sean pequeñas adaptaciones al modelo propuesto. En este sentido, se presentará dos instancias, que muestren que el proceso definido pueda ser adaptable a distintos contextos y la definición de esos procesos en ciertas instancias se encuentren en gran parte soportadas por el modelo propuesto.";2020-07-29;Ingeniería Informática56
"An&aacute;lisis, Dise&ntilde;o e Implementaci&oacute;n de un repositorio de objetos de aprendizaje con contenido versionable e integraci&oacute;n con plataformas LMS";Cerna Loli, Oscar Miguel;Licenciatura;"Cohn Muroy, Dennis"" xml:lang=""es_ES,Flores Lafosse, Natalí"" xml:lang=""es_ES";"Los Objetos de Aprendizaje son cualquier tipo de entidad -digital o no digital- y pueden ser usados, reutilizados y referenciados durante el aprendizaje apoyado en tecnología. &#xD;&#xA;Comúnmente son utilizados por programas conocidos como Sistemas de Gestión de Aprendizaje (LMS por sus siglas en inglés) que distribuyen y gestionan dichos objetos en forma de cursos o programas educativos. Además, registran la interacción del alumno con cada recurso interactivo dentro de un curso y los reportan a sus instructores o docentes. Para hacer factible esta conexión entre los Sistemas de Gestión de Aprendizaje y Objetos de Aprendizaje se desarrollaron ciertos estándares de creación de objetos. Uno de ellos es SCORM, que especifica técnicas y lineamientos para el desarrollo de contenido. Otro estándar desarrollado es LTI que provee un conjunto de especificaciones que habilitan la interoperabilidad entre contenido remoto y un LMS de manera que se pueda diseñar material educativo que pueda interactuar con el usuario, no solamente ser visualizado por él. &#xD;&#xA;Lo que procuran estos estándares es organizar todas las características de los Objetos de Aprendizaje en forma de metadatos. Estos metadatos buscan asegurar la accesibilidad (capacidad de ser accedido), interoperabilidad (capacidad de ser distribuido) y reusabilidad (capacidad para ser utilizado en diferentes contextos) de dichos objetos. &#xD;&#xA;Si bien los Sistemas de Gestión de Aprendizaje son los entornos más populares en cuanto a la utilización de los Objetos de Aprendizaje, estos son ambientes de información aislados. Mientras que algunos sistemas almacenan estos recursos en una base de datos propia sin contar con funcionalidades básicas de organización y búsqueda de contenido; otros cuentan con repositorios que almacenan específicamente Objetos de Aprendizaje. Sin embargo, la integración de estos repositorios se limita únicamente al Sistema de Gestión de Aprendizaje con el que fue distribuido. Ello dificulta la adopción de estos objetos en otros espacios, debido a que se deben descargar y volver a subir si se desea usarlo en otro sistema o incluso, en otro curso ofrecido dentro de la misma plataforma. &#xD;&#xA;Para que los Objetos de Aprendizaje cumplan con las características de accesibilidad, interoperabilidad y reusabilidad es necesario que estén ubicados de tal manera que sean accesibles por varios usuarios. Esta necesidad es cubierta por los Repositorios de Objetos de Aprendizaje (LOR, por sus siglas en inglés) que son bases de datos en línea que guardan, gestionan y comparten Objetos de aprendizaje. &#xD;&#xA;En este proyecto se realizará el análisis de los requisitos con los que debe contar el repositorio, así como las características con las que deben contar los Objetos de Aprendizaje que serán almacenados. También se realizará el diseño de la arquitectura del sistema. Finalmente, la implementación de un Repositorio de Objetos de Aprendizaje que pueda integrarse a plataformas LMS. Que además cuente con herramientas de apoyo que aseguren un mejor aprovechamiento de los Objetos de Aprendizaje como la generación de contenido derivado y funcionalidades de búsqueda por características tomando en cuenta la utilidad del objeto para el usuario.";2020-05-27;Ingeniería Informática57
"Elaboraci&oacute;n y validaci&oacute;n de un marco de trabajo para el dise&ntilde;o de interfaces para cajeros autom&aacute;ticos";Aguirre Torres, Joel Alexander;Licenciatura;"Paz Espinoza, Freddy Alberto"" xml:lang=""es_ES,Moquillaza Vizarreta, Miguel Arturo"" xml:lang=""es_ES";"Los cajeros automáticos o ATM fueron el primer gran intento de los bancos por&#xD;&#xA;descentralizar sus servicios y desde entonces están en una constante ampliación, posicionando&#xD;&#xA;más cajeros para mejorar el alcance a sus clientes. Sin embargo, los ATM tienen demasiadas&#xD;&#xA;funcionalidades, lo que genera problemas de usabilidad debido a la falta de consideración por&#xD;&#xA;el usuario final en el diseño de las interfaces. Esto se debe a la escasa información sobre cómo&#xD;&#xA;aplicar nociones de usabilidad en el diseño de las interfaces de ATM.&#xD;&#xA;En el presente trabajo de tesis se elabora y valida formalmente un marco de trabajo para el&#xD;&#xA;diseño de interfaces usables para ATM. Se realizó una revisión sistemática de la literatura y un&#xD;&#xA;análisis de sus resultados permitiendo encontrar los métodos de diseño más idóneos para el&#xD;&#xA;diseño de interfaces usable ATM. Se clasificaron los métodos de acorde a las fases del estándar&#xD;&#xA;ISO 13407, se refinaron y validaron mediante entrevistas y cuestionarios dirigidos a expertos&#xD;&#xA;en usabilidad y ATM.&#xD;&#xA;El marco de trabajo propuesto fue empleado por el equipo de desarrollo de ATM de una&#xD;&#xA;entidad financiera del Perú para el rediseño de las interfaces del flujo de depósito de efectivo.&#xD;&#xA;Como resultado se obtuvieron interfaces gráficas que mejoraban la satisfacción del usuario&#xD;&#xA;final y resolvían problemas identificados por el equipo a través de métodos de diseño centrado&#xD;&#xA;en el usuario.&#xD;&#xA;Para la validación de la propuesta, se llevó a cabo pruebas de usabilidad con usuarios finales,&#xD;&#xA;quienes probaron interfaces diseñadas sin una metodología de diseño frente a las interfaces&#xD;&#xA;resultantes de la ejecución del marco de trabajo propuesto. Las interfaces resultantes de la&#xD;&#xA;ejecución de la propuesta tuvieron un nivel de usabilidad mayor, validando la eficacia del&#xD;&#xA;marco de trabajo propuesto para el diseño de interfaces usables para ATM.&#xD;&#xA;Con esto, se logra incluir un proceso metodológico de diseño centrado en el usuario al&#xD;&#xA;dominio ATM que puede ser empleada por la industria en un contexto real, mejorando la&#xD;&#xA;usabilidad en las interfaces finales.";2020-02-28;Ingeniería Informática58
"Sistema web y aplicativo m&oacute;vil de soporte a las pruebas de usabilidad y experiencia de usuario basadas en m&eacute;tricas de usabilidad y EMOCARDS";Olivera Cokan, César Alberto;Licenciatura;"Paz Espinoza, Freddy Alberto"" xml:lang=""es_ES";"Los productos de software están cada vez más presentes en la vida de las personas y pueden ser considerados cruciales para las empresas, ya que estos ayudan a solucionar problemas que surgen en el día a día de manera eficaz y eficiente. Sin embargo, muy a menudo el diseño de estos productos no está enfocado en el usuario como ser humano, sino únicamente en las necesidades técnicas que se tienen que superar, dificultando que los productos de software sean fáciles de usar por los usuarios finales. Por tal motivo existen los conocidos métodos de evaluación de usabilidad y los métodos de evaluación de experiencia de usuario. Estas herramientas metodológicas tienen como finalidad determinar la forma en que ciertas propiedades específicas del producto de software contribuyen a lograr cierto grado de usabilidad, además de permitir conocer el grado de cumplimiento de las expectativas de los usuarios finales, así como, si se adapta a cierto contexto social, físico y organizativo. Existen diversas clasificaciones tanto para los métodos de evaluación de usabilidad como para los métodos de evaluación de experiencia de usuario; sin embargo, el presente proyecto de tesis se enfoca, por el lado de los métodos de prueba, en las pruebas de usabilidad con usuarios en conjunto con el empleo de métricas de usabilidad y Emocards para evaluar la experiencia del usuario. El interés en este caso particular surge en vista de que se ha podido identificar que el proceso tradicional de las pruebas de usabilidad con usuarios, que incluye el empleo de métricas de usabilidad y Emocards, trae consigo problemas dado que tradicionalmente este proceso se ha llevado de forma manual. En base a una búsqueda sistemática empleando bases de datos de artículos científicos y a entrevistas estructuradas realizadas a profesionales con experiencia en la ejecución de los métodos definidos, se pudo identificar que muy a menudo existen tasas elevadas de tiempo para planificar una prueba de usabilidad, grandes volúmenes de material y/o papeles físicos, errores humanos en el cálculo para la elaboración de reportes y retrasos para presentar informes de resultados a los clientes. Tomando en cuenta los problemas identificados, se planteó el objetivo de implementar y desarrollar un sistema web y un aplicativo móvil, con el fin de resolver los problemas antes descritos. En primera instancia, se empleó una metodología ágil, utilizando a expertos de usabilidad con el rol de clientes, para atravesar las etapas del ciclo de vida de software. Posteriormente, las herramientas desarrolladas se validaron mediante el método de juicio de expertos y mediante la ejecución de un diseño experimental usando un escenario con personas reales que tomaron el papel de usuarios y de expertos en usabilidad. Finalmente, se obtuvieron descubrimientos alentadores que promueven dar continuidad al desarrollo del sistema web y aplicativo móvil e incluso darles un uso en el ámbito educativo y/o comercial.";2020-02-28;Ingeniería Informática59
"Herramienta de apoyo para el proceso de selecci&oacute;n de iniciativas y monitoreo de indicadores estrat&eacute;gicos";Taco Vega, Jaimy Alfredo;Licenciatura;"Flores García, Luis Alberto"" xml:lang=""es_ES";"Uno de los problemas que el proceso estratégico afronta es el que la mayoría de los sistemas operativos y de control de gestión se basan en medidas y metas financieras (Kaplan &amp; Norton, 1996). Este enfoque guarda poca relación con el progreso de la compañía en el logro de objetivos estratégicos a largo plazo (Kaplan &amp; Norton, 1996) debido a que solo informan sobre lo que pasó el último período sin indicar como se puede mejorar el desempeño en el siguiente, por esta razón, las empresas malgastan recursos sin darse cuenta de que están financiando una estrategia pobre que no cumple con las proyecciones (Niven, 2002). Este problema puede reducirse si los miembros comprenden mejor la estrategia organizacional, entienden las iniciativas clave elegidas para lograrlo y seleccionan las medidas de rendimiento correctas (Russell, 2007). &#xD;&#xA;No obstante, para seleccionar las medidas de rendimiento correctas es necesario conocer el estado actual de la organización (Kaplan &amp; Norton, 1996). El problema recae cuando esta información no está al alcance, es inconsistente o simplemente no es tomada en cuenta (Russell, 2007).&#xD;&#xA;Por otro lado, otra actividad que también genera conflictos en el proceso estratégico es la selección de acciones o iniciativas estratégicas (García-Melón et al., 2015). Una inadecuada selección implica una pérdida en esfuerzo con acciones que en un inicio se cree que contribuyen altamente con la estrategia planteada, cuando en realidad no son así (García- Melón et al., 2015). En consecuencia, un error en este ámbito hace que las organizaciones no utilicen sus recursos en un nivel óptimo (García-Melón et al., 2015). &#xD;&#xA;Ambos problemas son considerados críticos dentro del proceso estratégico, primero, por la pérdida de esfuerzos y recursos con acciones o proyectos no alineados a la estrategia, y segundo, por la no disponibilidad e inconsistencia en las medidas de control, las cuales no permiten saber el estado real de la organización afectando la comprensión de la estrategia de negocio por parte de los miembros de la organización.&#xD;&#xA;Por lo descrito previamente, el fin de este proyecto de fin de carrera es implementar una herramienta que apoye en el proceso de selección de iniciativas y en el monitoreo de indicadores estratégicos.";2019-12-03;Ingeniería Informática60
"Algoritmo gen&eacute;tico multiobjetivo para la optimizaci&oacute;n de la distribuci&oacute;n de ayuda humanitaria en caso de desastres naturales en el Per&uacute;";Aduviri Choque, Robert Alonso;Licenciatura;"Cueva Moscoso, Rony"" xml:lang=""es_ES";"El Perú es un país susceptible a desastres naturales, hecho evidenciado con el terremoto de Pisco en 2007 y el fenómeno de El Niño Costero en 2017. Ante la ocurrencia de un desastre surge una cantidad considerable y variada de ayuda proveniente de distintos lugares: INDECI, empresas privadas, ciudadanía y ayuda internacional. Es posible identificar una demanda de bienes de ayuda diferenciada entre las zonas afectadas; sin embargo, el plan logístico del INDECI no indica un procedimiento de distribución de ayuda humanitaria con sustento científico. Ante esto, en el presente proyecto se propone un modelo de programación no lineal entero mixto que servirá como base para generar un plan de distribución de ayuda humanitaria a gran escala de manera automática, abarcando los niveles nacional y regional luego de un desastre. Asimismo, dado que en escenarios reales el tiempo de ejecución de métodos para encontrar soluciones para este modelo es limitado, se propone el diseño e implementación de un algoritmo genético, el cual es un algoritmo de optimización metaheurístico basado en principios evolutivos que se caracteriza por obtener soluciones aproximadas con un tiempo de ejecución menor al de métodos exactos, y permiten generar poblaciones de posibles soluciones para evaluar múltiples objetivos de optimización como la minimización de la inequidad en la distribución y el costo de transporte. Para probar el método exacto y metaheurístico se generará información a partir de datos disponibles del INDECI y la simulación de datos de prueba a partir de distribuciones de probabilidad. Asimismo, se realizará una comparación entre estos métodos, buscando obtener con el algoritmo genético una efectividad aproximada al del método exacto en un tiempo de ejecución mucho menor, y con el objetivo de conocer a partir de qué tamaño de problema es preferible el uso del algoritmo genético. Finalmente, como cada plan de distribución dependerá de las características del desastre a analizar, se propone la implementación de una interfaz de software para la entrada y visualización de información.";2019-12-03;Ingeniería Informática61
"Dise&ntilde;o de un mecanismo de medici&oacute;n del nivel de cumplimiento de la implementaci&oacute;n de gobierno digital en los gobiernos locales del Estado peruano";Chacon Dominguez, Karina Elizabeth;Licenciatura;"Aguilera Serpa, César Augusto"" xml:lang=""es_ES";El Poder Ejecutivo, ante el fomento de la modernización de la Administración Pública mediante el uso de las Tecnologías de Información y Comunicación (TIC), aprobó la Ley de Gobierno Digital, por medio del Decreto Legislativo № 1412, que implica la implementación de un Plan de Gobierno Digital, instrumento que señala cómo se desarrollarán las directivas y lineamientos de Gobierno Electrónico (e-Government), que dispone la Secretaria de Gobierno Digital (SEGDI). Para lograr esta transformación digital, el Estado Peruano está promoviendo desde hace algunos años que sus dependencias desplieguen iniciativas de e-Government, a través de la Política Nacional de Gobierno Electrónico establecidas por la SEGDI, con el fin de ofrecer servicios basados enteramente en estas tecnologías y en beneficio de los ciudadanos. Como parte de esta reingeniería, y según la regulación será necesario que se cuente con métodos y herramientas de evaluación que permitan conocer el grado de cumplimiento, avance o progreso de la implementación de Gobierno Electrónico en sus entidades públicas, para cumplir con las nuevas directivas nacionales sobre e-Government. El cumplimiento de este marco regulatorio no especifica ninguna metodología o herramienta que ayude a medir el nivel de cumplimiento, avance o progreso de la implementación de los objetivos de e-Government. Por lo tanto, bajo este contexto, se presenta como alternativa de solución al problema identificado, el diseño de una herramienta de medición que permita identificar los avances de implementación de gobierno electrónico. Esta herramienta está basada en una revisión de la literatura existente y en el análisis de las mejores prácticas usadas hasta el momento, con el uso de esta herramienta se podría identificar el estado actual de las estructuras y servicios de gobierno electrónico al interior de las instituciones públicas, así como verificar el cumplimiento regulatorio, para posteriores reajustes. El Proyecto propone dos pruebas piloto en dos gobiernos locales.;2019-11-28;Ingeniería Informática62
"Implementaci&oacute;n de un sistema de recomendaci&oacute;n de medicamentos en base a la naturaleza del paciente geri&aacute;trico";"Montalvo Luján, Lourdes Giannina"" xml:lang=""es_ES";Licenciatura;"Ríos Alejos, Luis Esteban"" xml:lang=""es_ES";"El presente proyecto de tesis desarrolla la implementación de un sistema de recomendación de medicamentos en base a la naturaleza del paciente geriátrico. Las personas geriátricas enfrentan problemas de salud, principalmente con enfermedades crónicas como hipertensión, diabetes, osteoartritis, entre otros, que requieren continuo tratamiento. &#xD;&#xA;La prescripción de múltiples medicamentos es una práctica común en este grupo de personas, en ese sentido aumenta el riesgo de interacciones farmacológicas no deseadas o peligrosas. Al aumentar la cantidad de medicamentos crece constantemente la probabilidad de padecer interacciones medicamentosas. Por lo tanto, es deseable tener sistemas de soporte médico que digieran todos los datos disponibles y adviertan sobre posibles interacciones de acuerdo al perfil médico del paciente. &#xD;&#xA;El sistema de recomendación desarrollado toma en cuenta las enfermedades preexistentes del paciente geriátrico, los síntomas actuales y verificación de interacciones farmacológicas. Este proyecto se inició con la construcción del simulador del paciente geriátrico basado en una red bayesiana, el cual incluye los antecedentes médicos del paciente, como punto de partida; los medicamentos a recomendar y por último el diagnóstico actual del paciente definido por el médico. Seguidamente, el desarrollo de un algoritmo genético se utilizó junto con el simulador del paciente para obtener la mejor combinación de medicamentos utilizando una función costo que optimiza la ausencia de los síntomas. Por último, el desarrollo de un sistema web consolidó todo lo construido anteriormente para que pueda ser utilizado por el usuario médico. &#xD;&#xA;Con ello se incluye un aporte a la mejora de la calidad de vida de los pacientes adultos mayores; con mayor énfasis, en brindar soluciones individualizadas, según su situación particular.";2019-11-26;Ingeniería Informática63
"Implementaci&oacute;n de un algoritmo mem&eacute;tico para optimizar la carga de hornos para la producci&oacute;n de sanitarios";"Palomares Melgarejo, Natalia Gabriela"" xml:lang=""es_ES";Licenciatura;"Cueva Moscoso, Rony"" xml:lang=""es_ES";"La continua competencia entre las empresas del sector fabricación de cerámicos y sanitarios ha hecho que estas busquen mejorar su calidad y su eficiencia, en el proceso productivo, para aumentar sus ganancias y reducir pérdidas. Una de las formas en que esto se ha manifestado es mediante el uso de soluciones informáticas. Sin embargo, aunque estas se enfocan en varios aspectos como la gestión de personal, almacenes, registros de ventas, entre otros, dejan un vacío en la optimización de las etapas del proceso de fabricación en sí. &#xD;&#xA;Tal es el caso de la fase de cocción, que tiene una larga duración y carece de una estrategia para la selección óptima de piezas que serán cargadas en el horno, ocasionando un cuello de botella en el proceso. La variedad de modelos a elaborar, la cantidad de piezas que los componen, los colores, así como la demanda, las restricciones de peso y volumen (de las vagonetas y hornos), dificultan la selección de piezas. &#xD;&#xA;Este problema no solo se presenta en el sector fabricación de sanitarios, sino también en otros, donde se manufacturan y ensamblan productos compuestos por varias partes, razón por la cual se han realizado varias investigaciones para desarrollar soluciones basadas en algoritmos que generen buenos resultados en tiempos razonables. &#xD;&#xA;La clase de algoritmos más usados en estos casos son los metaheurísticos y, dentro de esta categoría, el algoritmo genético debido a su simplicidad. Sin embargo, en investigaciones recientes se ha visto que los algoritmos meméticos generan buenas soluciones en un número menor de evaluaciones y con mejor calidad. &#xD;&#xA;Tomando en cuenta lo mencionado anteriormente, este proyecto de fin de carrera tuvo como objetivo: diseñar e implementar un algoritmo memético que genere una selección de piezas priorizando aquellas que aprovechen la capacidad de peso y volumen de hornos y vagonetas, considerando la demanda de los sets de productos. Este algoritmo luego fue calibrado para mejorarlo y finalmente se lo comparó con el algoritmo genético para determinar cuál de ellos es el mejor para este tipo de problemas.";2019-10-28;Ingeniería Informática64
"Inferencia de interacciones causales g&eacute;nicas usando t&eacute;cnicas basadas en Manto de Markov";"Del Río Cárdenas, Sergio Andrés"" xml:lang=""es_ES";Licenciatura;"Villanueva Talavera, Edwin Rafael"" xml:lang=""es_ES";"Conocer cómo interactúan los genes en las células es un objetivo importante en biología y medicina. Este conocimiento permitiría la creación de terapias celulares precisas para corregir disfunciones de los mecanismos moleculares detrás de condiciones patológicas como el cáncer [1,2]. El estudio de estas interacciones ha sido realizado tradicionalmente por medio de experimentos que involucran perturbaciones a los sistemas celulares, y con ello una alta demanda de tiempo y mano de obra. La premisa común para realizar estos costosos experimentos de intervención es que ellos permiten detectar relaciones de causalidad entre genes sin ambigüedad, a diferencia de realizar únicamente observaciones en los sistemas celulares que no permitirían distinguir de forma confiable relaciones causales de correlaciones estadísticas generadas indirectamente por mecanismos no observados. En redes génicas, es necesario distinguir entre una causa de un efecto y el efecto de una causa, ya que esto permitiría saber cómo funciona la regulación génica en las células. &#xD;&#xA;No obstante, Maathius et al. [6] demostró que inferir relaciones causales en redes moleculares es posible usando datos de observaciones de los componentes del sistema (genes) y una metodología de análisis de datos. Estos trabajos generaron interés en el tema motivando diversos trabajos en consecuencia con el enfoque de estadística inferencial y causalidad. Sin embargo, las metodologías propuestas incorporan fuertes consideraciones en los modelos, como aciclicidad de las interacciones y gausianidad en los niveles de expresión de los genes, consideraciones que son biológicamente cuestionables, así como un elevado costo computacional para su procesamiento. &#xD;&#xA;Es en dicho contexto donde el presente proyecto propone aplicar un enfoque basado en Aprendizaje Máquina (AM). Este campo estudia cómo generar modelos que aprendan a discriminar objetos o instancias en categorías o clases conocidas, con base a un conjunto de instancias ya clasificadas (datos de entrenamiento). La idea de usar Aprendizaje Máquina en la detección de interacciones causales entre genes es aprender las diferencias mínimas que puedan existir dentro de las observaciones temporales de las expresiones de los genes que pueden caracterizar comportamientos causales entre genes. &#xD;&#xA;Sin embargo, al aplicar Aprendizaje Máquina en problemas de alta dimensionalidad como el descrito, es común hallar un alto costo computacional para su ejecución, lo cual genera la necesidad de métodos de reducción de dimensionalidad. En el presente proyecto se propone investigar un enfoque basado en el concepto de Manto de Markov (MM), cuyos estimadores han probado ser teóricamente óptimos para la detección del conjunto de variables causalmente relevante respecto a una variable de interés.";2019-10-23;Ingeniería Informática65
"Implementaci&oacute;n de un sistema de informaci&oacute;n para la gesti&oacute;n de producci&oacute;n de cer&aacute;micos por corte y rectificado";"Cueva Sanchez, Yuser Arthuro"" xml:lang=""es_ES";Licenciatura;"Cueva Moscoso, Rony"" xml:lang=""es_ES";"En este proyecto de fin de carrera se propone desarrollar un sistema que apoye la planificación y el control de la producción de cerámicas por corte y rectificado. Esto abarca minimizar el desperdicio del material y llevar un control de mermas durante el proceso productivo que pueda garantizar el cumplimiento de las órdenes de los clientes y evitar el incremento de los costos originados por el desperdicio. &#xD;&#xA;&#xD;&#xA;Mantener un adecuado costo de lo producido, no es exclusivo del sector cerámico sino de cualquier empresa dedicada a la manufactura, por tal motivo se debe contar con una adecuada planificación de lo que se va a producir, asimismo este proceso ayuda a satisfacer la demanda de los clientes. Además, una empresa que no implementa un plan y control de producción en su sistema de manufactura no utilizará apropiadamente sus inventarios y los recursos que posee. Un punto de inicio para el planeamiento de la producción es establecer la cantidad de productos que se fabricará durante un periodo de tiempo, basado en un plan base desarrollado a partir de un programa de ventas que establece la cantidad de cada producto a ser vendido. &#xD;&#xA;&#xD;&#xA;Este proyecto de fin de carrera se centra en un ambiente de fabricación contra orden, en el cual la producción empieza cuando se recibe la orden del cliente y se caracteriza porque se solicitan productos exclusivos; además se resalta la importancia de un planeamiento y control de producción en este ambiente de fabricación pues es esencial el uso eficiente y efectivo de la capacidad disponible, con el fin de satisfacer los pedidos de los clientes. Un ejemplo de fabricación contra orden, en el sector de producción de cerámicos, ocurre cuando los clientes solicitan baldosas de distintos tamaños lo que origina que se realicen cortes normales o rectificados dependiendo de las características solicitadas. Además, se debe considerar minimizar el desperdicio del material que puede quedar al realizar este proceso pues afecta el costo de producción del producto terminado; para ello se debe llevar un control de mermas durante el proceso de producción. &#xD;&#xA;&#xD;&#xA;Para mejorar la productividad de las empresas se debe controlar las mermas que se generan en los diferentes procesos, evaluando el impacto económico que estas representan para la empresa. Finalmente, con un adecuado control de mermas y un adecuado planeamiento de producción para la fabricación contra orden se podrían elegir las órdenes solicitadas y asegurar el cumplimiento del pedido de los clientes y la disponibilidad de stock para la cantidad de solicitudes que se planeó.";2019-10-15;Ingeniería Informática66
"Dise&ntilde;o de un modelo de ciberseguridad para dispositivos m&oacute;viles en el sector empresarial";"Bruderer Vega, Ramon Simón"" xml:lang=""es_ES";Licenciatura;"Villena Aguilar, Moisés Antonio"" xml:lang=""es_ES";"En los últimos años los dispositivos móviles se han vuelto una herramienta muy valiosa para las organizaciones porque por medio de ellas se puede manejar información muy valiosa para las mismas. Sin embargo, debido al valor de la información manejada estos dispositivos se han vuelto blanco de diversos tipos de ataques con el fin de afectar la confidencialidad, integridad o disponibilidad de la información manejada por dichos dispositivos. Por esta razón para el presente proyecto de fin de carrera se recopilara información de los estándares de NIST y de la ISO 27032 para elaborar un modelo de ciberseguridad que permita establecer controles para proteger los dispositivos móviles y la información manejada por ellos. Este modelo estará conformado por la lista de componentes, la lista de categorías, la lista de subcategorías (objetivos de control), los niveles de prioridad de cada subcategoría, las precondiciones del modelo, los indicadores del modelo, la guía de implementación del modelo y el procedimiento que se seguirá para la validación del modelo. En la guía de implementación se encontrara las estructuras de gobierno sugeridas, una lista de amenazas de ciberseguridad para dispositivos móviles y el procedimiento que se seguirá para realizar una evaluación previa para determinar el estado actual de la seguridad de la organización y determinar los controles que faltan implementar para lograr el nivel de protección deseado. Además al final de la guía se encontrara las actividades recomendadas para implementar controles asociados a las subcategorías. Este modelo ha sido validado a través del juicio experto y además este modelo ha participado en la 11th IADIS International Conference on Information System 2018 en Lisboa, Portugal. (Bruderer, Villena, Tupia, &amp; Bruzza, 2018).";2019-10-10;Ingeniería Informática67
"Elaboraci&oacute;n de un Sistema de Recomendaci&oacute;n de Publicaciones Cient&iacute;ficas Nacionales de Acceso Abierto para los investigadores calificados del SINACYT";"Vereau Zagastizábal, Elizabeth Jenisse"" xml:lang=""es_ES";Licenciatura;"Olivares Poggi, César Augusto"" xml:lang=""es_ES";"Actualmente existe un crecimiento sostenido sobre la producción científica mundial. Esta producción científica es preservada a través de repositorios de acceso abierto digitales, los cuales se crean como herramientas de apoyo para el desarrollo de producción científica. Sin embargo, existen deficiencias en la funcionalidad de los mismos como herramientas de apoyo para el aumento de la visibilidad, uso e impacto de la producción científica que albergan. &#xD;&#xA;El Perú, no es ajeno al crecimiento de la producción científica mundial. Con el avance del mismo, se implementaron nuevas plataformas (ALICIA y DINA) de difusión y promoción del intercambio de información entre las distintas instituciones y universidades locales. No obstante, estas plataformas se muestran como plataformas aisladas dentro del sistema científico-investigador, ya que no se encuentran integradas con las herramientas y procesos de los investigadores. &#xD;&#xA;El objetivo de este Proyecto es el de presentar una alternativa de solución para la resolución del problema de carencia de mecanismos adecuados para la visualización de la producción científica peruana a través de la implementación de un Sistema de Recomendación de Publicaciones Científicas Nacionales de Acceso Abierto para los investigadores calificados del SINACYT. &#xD;&#xA;Esta alternativa se basa en la generación de recomendaciones personalizadas de publicaciones en ALICIA, a través del uso del filtrado basado en contenido tomando en cuenta un perfil de investigador. Este perfil se construyó a partir de la información relevante sobre su producción científica publicada en Scopus y Orcid. La generación de recomendaciones se basó en la técnica de LSA (Latent Semantic Analysis), para descubrir estructuras semánticas escondidas sobre un conjunto de publicaciones científicas, y la técnica de Similitud Coseno, para encontrar aquellas publicaciones científicas con el mayor nivel de similitud. &#xD;&#xA;Para el Proyecto, se implementaron los módulos de extracción, en donde se recoge la data de las publicaciones en ALICIA y las publicaciones en Scopus y Orcid para cada uno de los investigadores registrados en DINA a través de la técnica de extracción de datos de sitios web (web scrapping); de pre procesamiento, en donde se busca la mejora de la calidad de la data previamente extraída para su posterior uso en el modelo analítico dentro del marco de la minería de texto; de recomendación, en donde se capacita un modelo LSA y se generan recomendaciones sobre qué publicaciones científicas pueden interesar a los usuarios basado en sus publicaciones científicas en Scopus y Orcid; y de servicio, en donde se permite a otras aplicaciones consumir las recomendaciones generadas por el sistema.";2019-10-03;Ingeniería Informática68
